Cliente,cod articolo,mean,std,mean_differenza_giorni
MAGLIFICIO FASIROTEX,S18-140002DN,10.0,0.0,26.0
MAGLIFICIO FASIROTEX,X23-39598DN,10.0,0.0,26.0
MAGLIFICIO FASIROTEX,X23-39598DN2999,30.0,0.0,26.0
MANIFATTURA ITALIA CUCIRINI,2202ZF,60.0,0.0,1.0
MANIFATTURA ITALIA CUCIRINI,2221ZN,40.0,0.0,1.0
MANIFATTURA ITALIA CUCIRINI,4426ZN2,165.0,0.0,4.0
MANIFATTURA ITALIA CUCIRINI,4428ZN/F,165.75,110.72585193040642,5.0
MANIFATTURA ITALIA CUCIRINI,7005ZF,190.0,84.26149773176358,12.0
MANIFATTURA ITALIA CUCIRINI,X21-2278V4DN,200.0,0.0,26.0
MANIFATTURA ITALIA CUCIRINI,X22-2211ZF1,170.0,42.42640687119285,45.0
MANIFATTURA ITALIA CUCIRINI,X23-2279ZF,535.0,509.11688245431424,50.0
MANIFATTURA ITALIA CUCIRINI,X23-2299V3ZF,24.0,0.0,26.0
MANIFATTURA ITALIA CUCIRINI,X23-2299V5ZF,607.6,574.015069488598,47.0
MARYGOLD,1724S+ZN 2cicli,40.0,0.0,26.0
MARYGOLD,2223DN,53.333333333333336,32.506409624359726,26.0
MARYGOLD,2265ZN2,50.0,14.142135623730951,1.0
MARYGOLD,2268S+ZN,16.0,0.0,15.0
MARYGOLD,2273S+Z,260.0,0.0,26.0
MARYGOLD,39501DN,85.0,0.0,26.0
MARYGOLD,4423DN,700.0,0.0,26.0
MARYGOLD,848DN,41.25,14.361406616345072,1.0
MARYGOLD,FennyS+ZN,2.0,0.0,26.0
MARYGOLD,X23-1299DN mini,105.0,35.35533905932738,43.0
MARYGOLD,X23-1399ZN2,100.0,0.0,26.0
MEDI,S18-160044DN100,50.0,0.0,26.0
MEDI,S21-100011DN100 A230,80.0,0.0,51.0
MEDI,X23-4489DN,150.0,0.0,26.0
MICHELE LETIZIA,X22-7806S+ZN,460.0,213.8784701647176,10.0
MICHELE LETIZIA,X24-7802S+ZN,428.6666666666667,115.93245159718367,20.0
NASTRIFICIO VICTOR,94001DN2,410.0,268.70057685088807,26.0
OLIMPIAS GROUP SRL,2274ZN,1200.0,0.0,26.0
OLIMPIAS GROUP SRL,4414ZN,400.0,0.0,26.0
OLIMPIAS GROUP SRL,4439ZN,203.0,35.98610843089316,26.0
OLIMPIAS GROUP SRL,7027SF1,80.0,0.0,26.0
PIEFFE SPORT,S18-200014DN,49.0,0.0,26.0
RADICI,2275S+ZN-B10A,4366.666666666667,3580.9682117177936,123.0
RADICI,2275S+ZN-N00,1386.25,1126.065236416908,77.0
RADICI,2276S+ZN,2766.6666666666665,404.145188432738,77.0
RADICI,2279ZN1 13200,415.0,0.0,26.0
RADICI,2279ZNB10A 14000,1595.0,700.035713374682,26.0
RADICI,X22-2209ZN,220.0,0.0,26.0
RADICI,X23-7899ZN,1970.0,0.0,49.0
SANYLEG,13007ZF 903C 14000,250.0,0.0,75.0
SANYLEG,13007ZN/F-14500,250.0,0.0,50.0
SANYLEG,15613DN1,378.3333333333333,141.4508159514583,48.0
SANYLEG,20099ZF,210.0,0.0,26.0
SANYLEG,2274ZN,2000.0,0.0,18.0
SANYLEG,2274ZN2015,150.0,70.71067811865476,26.0
SANYLEG,31002DN1,513.1,655.5596965871786,38.0
SANYLEG,33001DN2,703.125,880.5431562393748,33.0
SANYLEG,33002DN,436.6666666666667,208.40665376454115,42.0
SANYLEG,4424ZN,240.0,0.0,26.0
SANYLEG,4450ZN,531.0,538.8153672641492,26.0
SANYLEG,62001DN1,364.0,215.1278689523977,70.0
SANYLEG,62001DN2,316.6666666666667,158.85003409925142,34.0
SANYLEG,62002DN,547.5,225.0,32.0
SANYLEG,62002DN2,383.3333333333333,213.88470414376684,53.0
SANYLEG,7034ZN,318.44444444444446,227.41261339694012,61.0
SANYLEG,7035DN1,180.0,0.0,26.0
SANYLEG,X17-4495ZN,395.0,148.49242404917499,26.0
SANYLEG,X21-15696V8DN,322.5,152.02795795510772,36.0
