N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8096,11/04/2024 12:53:35,12/04/2024 11:42:33,,"22,7200","103,100","4,5379","76,8300","1,3400","0,300",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8091,12/04/2024 16:06:44,13/04/2024 15:23:28,,"23,2200","112,2500","4,8342","78,5200","1,4300","0,3100",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8092,15/04/2024 16:07:58,16/04/2024 15:44:10,,"23,4800","108,1200","4,6048","79,4200","1,3600","0,300",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8090,17/04/2024 09:25:06,18/04/2024 08:52:38,,"23,3200","106,1900","4,5536","78,8600","1,3400","0,300",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8095,18/04/2024 12:52:43,19/04/2024 12:24:09,,"23,4700","106,2700","4,5279","79,3600","1,3400","0,2900",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8096,19/04/2024 13:57:15,20/04/2024 13:27:00,,"23,3700","111,1200","4,7548","79,0300","1,400","0,3100",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8091,22/04/2024 09:36:23,23/04/2024 08:21:19,,"22,6200","104,0400","4,5995","76,4900","1,3600","0,300",,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8095,23/04/2024 11:46:36,24/04/2024 10:54:20,,"23,0200","105,6200","4,5882","77,8400","1,3600","0,300",finisce lycra all 11 ciclo,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8093,24/04/2024 12:56:57,25/04/2024 11:56:41,,"22,8800","110,5300","4,8309","77,3900","1,4300","0,3200",finisce lycra all 11 ciclo,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8093,27/04/2024 06:47:16,28/04/2024 06:11:32,,"23,3700","113,1600","4,8421","79,0300","1,4300","0,3100",finisce lycra all 11 ciclo,
,,+,38,X23-8397DN,"XLA 83/60/1 dc tpm 635 st.4,2 (EC)",,8096,30/04/2024 14:45:00,01/05/2024 13:58:41,,"23,200","107,6300","4,6392","78,4600","1,3800","0,300",finisce lycra all 11 ciclo,
,,+,39,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8",,13764,01/04/2024 12:24:24,03/04/2024 14:29:08,,"50,0300","402,5500","8,0462","112,1700","3,5900","0,7900",,
,,+,39,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu",,10891,05/04/2024 12:38:16,06/04/2024 08:28:06,,"19,8200","148,1800","7,4763","101,0900","1,4600","0,3200",X21-39599V7DN333                           CAMPIONI,
,,+,39,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu",150,10954,06/04/2024 09:36:40,07/04/2024 06:53:34,,"21,100","123,1700","5,8374","44,100","2,7900","0,6100",X21-39599V7DN333                           CAMPIONI,
,,+,39,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu",150,10926,08/04/2024 16:12:01,09/04/2024 12:47:55,,"20,4500","114,1200","5,5804","61,1300","1,8600","0,4100",X21-39599V7DN333                           CAMPIONI,
,,+,39,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu",,10994,09/04/2024 13:24:17,10/04/2024 09:42:18,,"20,200","92,7300","4,5906","103,0500","0,900","0,200",,
,,+,39,62002DN,"Cr620/78f24 dc tpm 800 st. 4,8",,11881,10/04/2024 14:27:41,12/04/2024 15:05:09,,"48,6300","414,7500","8,5287","163,5700","2,5400","0,5600",,
