N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14614,25/05/2024 18:11:46,30/05/2024 10:07:52,,"111,8200","1059,6500","9,4764","180,9300","5,8600","1,2900",,24/66405-F1
,,+,43,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)",256,14615,31/05/2024 14:46:09,05/06/2024 10:48:53,,"115,9200","1091,4300","9,4154","187,5800","5,8200","1,2800",,24/72201-F1
,,+,44,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",256,20328,10/05/2024 11:05:35,20/05/2024 18:37:23,,"247,5300","3469,9100","14,0181","106,500","32,5800","7,1700","NO NODI SOST TUB ALLA ROTTURA
 il 20-5 abbassare rpm",23/46706-MS1
,,+,44,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",256,19328,23/05/2024 09:13:15,30/05/2024 19:06:47,,"177,8500","2254,7400","12,6778","72,7600","30,9900","6,8200","NO NODI SOST TUB ALLA ROTTURA
",23/23506-MS1
,,+,45,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",,20673,02/05/2024 08:28:24,08/05/2024 17:39:45,,"153,1300","2964,0400","19,3564","103,2900","28,700","6,3100",,23/61005 F1
,,+,45,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",,20750,10/05/2024 13:14:51,19/05/2024 22:23:19,,"225,0300","3766,5300","16,7379","15,3400","245,500","54,0100",,23/61005 F1
,,+,45,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",256,20722,20/05/2024 11:30:37,30/05/2024 16:29:43,,"244,9500","4263,3100","17,4048","169,4900","25,1500","5,5300",,23/61005 F1
,,+,45,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)",256,20704,31/05/2024 10:13:26,10/06/2024 09:20:39,,"238,9700","4483,7700","18,7629","165,200","27,1400","5,9700",,23/61006-F1
,,+,46,2279ZN1 13200,Cr22/78f68 Z tpm 600 st- 3.2 (DC),,13598,09/05/2024 17:36:23,12/05/2024 12:14:14,,"66,4500","968,300","14,5719","180,1200","5,3700","1,1800",,24/76701-F2
,,+,46,2279ZN1 13200,Cr22/78f68 Z tpm 600 st- 3.2 (DC),256,13594,13/05/2024 11:36:49,16/05/2024 13:15:07,,"73,4700","1095,1500","14,9061","199,100","5,500","1,2100",,24/76702-F2
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13683,22/05/2024 11:11:23,25/05/2024 10:14:34,,"70,9200","1166,3600","16,4461","193,4500","6,0300","1,3300",alzato rpm per fare finire in mattinata la mc,24/74301-F2
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13555,25/05/2024 12:28:08,28/05/2024 12:18:09,,"71,6700","1156,5500","16,1372","193,6600","5,9700","1,3100",,24/74201-F2
,,+,46,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),256,13563,29/05/2024 12:44:04,01/06/2024 12:02:02,,"71,2300","1151,9400","16,1721","192,5900","5,9800","1,3100",,24/74302-F2
,,+,47,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20899,02/05/2024 14:53:23,27/05/2024 12:55:05,,"598,00","9108,4900","15,2316","150,5600","60,4900","13,3100",FERMATA A TEMPO 621H                              PROVA CONSUMI                                            PARTIRE CON SPOLE FADIS3,24/9904 F3
,,+,48,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20951,28/05/2024 09:53:12,21/06/2024 04:35:38,,"570,6700","8630,5500","15,1235","144,0400","59,9200","13,1800",,24/80102-M8
,,+,49,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,02/05/2024 10:00:00,15/5/2024,,,,,"72,4400",,,A META' CICLO FARE LEVATA,
,,+,49,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20200,15/05/2024 10:00:00,02/06/2024 09:00:00,,,,,"39,9500",,,"spole rimangono grosse, fermare la mc il giorno indicato",
,,+,50,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20200,17/05/2024 10:00:00,04/06/2024 09:00:00,,,,,"35,9600",,,"spole rimangono grosse, fermare la mc il giorno indicato",
,,+,51,X23-4496V2ZN2,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)",,12978,06/05/2024 13:55:47,11/05/2024 09:03:24,,"115,100","1641,6600","14,2629","209,7400","7,8300","1,7200",,24/78102-F2
,,+,51,X23-4496V2ZN2,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)",,12740,11/05/2024 12:01:35,16/05/2024 12:07:49,,"120,0200","1675,8200","13,9628","218,700","7,6600","1,6900",,24/75901-F2
,,+,51,X23-4496V2ZN2 16000,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)",264,15000,17/05/2024 15:45:41,19/05/2024 19:01:42,,"51,200","617,6500","12,0635","107,8400","5,7300","1,2600",,24/7501-F1
,,+,51,X23-4496V2ZN2 16000,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)",264,15000,21/05/2024 10:05:33,23/05/2024 13:23:38,,"51,2800","631,600","12,3167","108,0200","5,8500","1,2900",,24/75002+24/74401-F2
,,+,51,X23-4496V2ZN2 16000,"Ly44/78f70 Z tpm 1000 st. 3,7 (DH)",264,15000,23/05/2024 17:56:18,25/05/2024 21:16:49,,"51,2700","610,1100","11,8999","107,9800","5,6500","1,2400",,24/74402-F3
,,+,52,X22-2005V2ZN,,264,16003,15/05/2024 13:16:06,18/05/2024 14:25:24,,"72,9500","443,9100","6,0851",,,,X22-2005V2ZN,
,,+,52,X24-2213ZN2,"Cr22/78f70 Z tpm 1000 st.3,2 (DC)",264,15493,22/05/2024 09:17:55,24/05/2024 16:40:59,,"55,3300","679,3200","12,2776","117,0400","5,800","1,2800",,24/80003-F1
,,+,52,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)",186,13197,27/05/2024 08:55:44,04/06/2024 06:12:28,,"189,0700","2420,4700","12,8020","159,1700","15,200","3,3400","ALTERNARE S+ZN E ZN non girare le flange.   n° ord. zn 177 4 levate,    n° ord s+z 176 6 levate",24/73201-F2
,,+,53,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",,12981,13/05/2024 13:16:31,19/05/2024 11:32:41,,"142,2800","1607,800","11,3003","225,8200","7,1200","1,5700",,24/75801-F3
,,+,53,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",264,12981,20/05/2024 12:30:06,26/05/2024 11:51:10,,"143,300","1597,1300","11,1454","227,100","7,0300","1,5500",,24/75701-F3
,,+,53,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)",264,12981,27/05/2024 11:31:18,02/06/2024 06:54:38,,"139,2700","1563,7900","11,2285","220,7100","7,0900","1,5600",,24/75802-F3
,,+,54,X24-1701S+Z mini,,264,20593,05/05/2024 16:22:39,11/05/2024 20:30:13,,"148,0200","1545,6800","10,4424",,,,X24-1701S+Z mini,
,,+,55,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)",264,20577,18/05/2024 07:45:51,07/06/2024 13:41:01,,"485,900","5888,8300","12,1194","104,6100","56,300","12,3800",,24/87502-F1
,,+,56,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)",264,20599,25/05/2024 11:11:14,15/06/2024 06:17:29,,"499,100","5858,2800","11,7377","107,5700","54,4600","11,9800",LA 4° LEVATA METTERE LE 110 SPOLE X FARE SOLO TORSIONE Z POI PROSEGUIRE X FINE ORDINE S+Z (Betty ricordati che devi fare una levata solo torsione z finale 110 spole) ATTENZIONE DALLA MC 55 HO TOLTO QUESTO ART MANCA 1 LEVATA IN S+Z LA LYCRA 13 E' NEL CESTONE,24/87903-F1
,,+,57,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)",,17500,09/05/2024 08:22:46,18/05/2024 10:41:18,18/05/2024 07:30:00,"218,2700","2724,8900","12,4840","147,5400","18,4700","4,0600",,24/77101-F3
,,+,57,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)",264,17500,18/05/2024 13:11:22,27/05/2024 11:25:15,,"214,1200","2631,7900","12,2912","144,7400","18,1800","4,00",,24/77001-F3
,,+,57,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)",264,17500,29/05/2024 08:35:03,07/06/2024 07:19:02,,"214,700","2618,3900","12,1956","145,1300","18,0400","3,9700",IMPOSTATO IL TEMPO 214H quando finisce ion movimento togliere il tempo,24/77102-F3
,,+,58,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",,13661,10/05/2024 11:07:14,14/05/2024 13:33:44,,"98,2700","1188,1100","12,0903","185,800","6,3900","1,4100",FARE 6 CICLI DA 4 GG PER PESO SPOLA SBAGLIATA,24/76501-F2
,,+,58,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",,13686,16/05/2024 06:58:48,20/05/2024 09:02:54,20/05/2024 10:00:00,"97,9700","1187,7300","12,1234","185,2400","6,4100","1,4100",FARE 6 CICLI DA 4 GG PER PESO SPOLA SBAGLIATA,24/76401-F2
,,+,58,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13678,20/05/2024 13:33:37,24/05/2024 14:26:24,01/06/2024 10:00:00,"96,8300","1197,9900","12,3721","182,800","6,5500","1,4400",FARE 6 CICLI DA 4 GG PER PESO SPOLA SBAGLIATA,24/76301-F2
,,+,58,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,28/05/2024 12:30:08,01/06/2024 14:28:19,,"97,8500","1210,600","12,3720","184,8300","6,5500","1,4400",FARE 6 CICLI DA 4 GG PER PESO SPOLA SBAGLIATA,24/75202-F3
,,+,59,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)",,18879,07/05/2024 15:27:00,15/05/2024 08:04:35,15/05/2024 10:00:00,"184,600","2694,6100","14,5970","99,4700","27,0900","5,9600","inserire una levata in sola torsione Z,OK FATTA), tutte le altre in s-z
",24/87306-F1
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,15/05/2024 10:21:45,20/05/2024 09:38:38,,"119,100","1606,4800","13,4885","224,9600","7,1400","1,5700","
",24/75201-F2
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,20/05/2024 19:19:03,25/05/2024 08:56:33,,"109,5800","1517,5800","13,8491","206,9900","7,3300","1,6100","
",24/76502-F2
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,25/05/2024 10:21:23,30/05/2024 10:31:02,,"120,1500","1643,3900","13,6778","226,9500","7,2400","1,5900","
",24/76402-F3
,,+,59,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)",264,13686,30/05/2024 16:04:54,04/06/2024 13:08:12,,"117,0300","1571,9200","13,4318","221,0600","7,1100","1,5600","
",24/76503-F2
,,+,60,X24-2001S+ZN,"Ly 20/8f5 S+Z tpm 1900 st. 2,8 (CI)",264,20994,11/05/2024 07:52:18,22/05/2024 00:22:06,,"256,4800","3295,3300","12,8483","71,0100","46,400","10,2100",,24/93003-M8
,,+,60,2250SN,"KL22/11f5 S tpm 1400 st. 2,75 (CHF)",264,18398,22/05/2024 09:44:58,05/06/2024 05:57:52,,"332,0700","3232,9100","9,7356","130,1100","24,8500","5,4700",minispole,23/32308-M8
,,+,61,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,03/05/2024 10:00:00,28/05/2024 02:00:00,,,,,"155,800",,,,
,,+,61,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,30/05/2024 10:00:00,12/6/2024,,,,,"0,2600",,,,
,,+,61,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)",,21000,30/05/2024 10:15:00,12/06/2024 00:15:00,,,,,"220,1100",,,,
,,+,62,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,04/05/2024 10:00:00,29/05/2024 02:00:00,,,,,"149,8200",,,,
,,+,62,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,30/05/2024 10:00:00,24/06/2024 02:00:00,23/06/2024 10:00:00,,,,"149,8200",,,,
,,+,63,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,18/05/2024 10:00:00,12/06/2024 02:00:00,,,,,"161,9300",,,,
,,+,64,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,10/05/2024 10:00:00,04/06/2024 02:00:00,,,,,"149,7900",,,,
,,+,65,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20700,13/05/2024 10:00:00,07/06/2024 02:00:00,,,,,"150,5700",,,,
,,+,67,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19600,02/05/2024 10:29:02,06/05/2024 06:10:01,,"91,6300","879,6800","9,6003","112,2200","7,8400","1,7300",,24/93504 F1+C10
,,+,67,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,19600,10/05/2024 15:18:03,14/05/2024 17:25:02,,"97,0700","917,2800","9,4497","118,8700","7,7100","1,700",,24/91706-F3
,,+,67,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)",,20800,14/05/2024 19:32:02,18/05/2024 13:20:02,,"89,7500","875,0600","9,7500","109,9100","7,9600","1,7500",,24/88505-F3
,,+,67,X24-4403DN,"Ly 44-11f5 dc tpm 1900 st. 3,5 (DF)",264,20800,20/05/2024 13:41:02,06/06/2024 14:05:02,,"408,3300","3062,500","7,5001","116,0100","26,3900","5,8100",,24/74701-F3
,,+,68,X23-4491DF1,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,04/05/2024 09:48:02,09/05/2024 11:05:03,,"121,2500","672,9400","5,5500","106,9100","6,300","1,3800",,
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,09/05/2024 15:51:03,14/05/2024 19:05:01,,"123,1700","702,0500","5,6998","108,600","6,4600","1,4200",,24/82003-F1
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",,14000,15/05/2024 19:44:02,16/05/2024 23:55:02,,"28,1300","185,6800","6,6008","24,8100","7,500","1,6500",,24/81903-F1
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",264,14000,18/05/2024 07:16:02,22/05/2024 05:25:03,,"94,100","508,1400","5,400","82,9700","6,1200","1,3500",AGGIUNGI + CAMPIONI,24/81903-F1
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",264,14000,25/05/2024 07:53:03,30/05/2024 08:55:02,,"120,9800","689,6100","5,7002","106,6700","6,4700","1,4200",,24/82004-F1
,,+,68,X23-4491DF366,"Ly 44/33f34 dc tpm 1150 st. 2,1 (CB)",264,14000,30/05/2024 16:25:02,04/06/2024 21:55:02,,"125,4300","714,9700","5,7002","110,600","6,4600","1,4200",,24/81904-F1
,,+,69,X21-20099DN2,"Ly200/22f10 DC tpm 1500 st. 4,6 (EG)",,19500,02/05/2024 12:56:02,08/05/2024 03:10:03,,"134,1800","161,0200","1,200","130,1400","1,2400","0,2700",,24/88504 F3
,,+,69,S21-100011DN100 A230,"Mu 1000/62f18 dc tpm 800 st. 2,2 (CC)",,8000,08/05/2024 10:23:03,09/05/2024 06:40:03,,"15,4500","18,5400","1,200","65,3900","0,2900","0,0600",,24/76901-F2
,,+,69,X22-2005V2ZN1,"Ly 20/22f7x2 Z tpm 900 st. 2,9 (CL)",88,16000,14/05/2024 10:50:01,02/06/2024 12:40:03,,"429,7200","515,6600","1,200","210,4900","2,4500","0,5400","mc in doppia usata in singola solo piano inf. ""sulla mc ci sono fusi x mini e dm. 76",
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",,12500,03/05/2024 14:46:02,07/05/2024 17:55:03,,"99,0800","787,7100","7,9502","234,9100","3,3500","0,7400",,24/81103 F2
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",,12500,08/05/2024 09:32:03,11/05/2024 16:50:03,,"79,2800","654,0900","8,2504","187,9700","3,4800","0,7700",,24/81003-F2
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",264,12500,16/05/2024 09:11:02,20/05/2024 08:20:03,,"95,1300","841,9300","8,8503","225,5500","3,7300","0,8200",,24/81104-F2
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",264,12500,21/05/2024 16:10:03,25/05/2024 17:25:03,,"97,2200","845,7800","8,6997","230,4900","3,6700","0,8100",1 levata sbagliata messo creora 78 H350 anziche H350A,24/81004-F2
,,+,70,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)",264,12500,27/05/2024 10:42:02,31/05/2024 02:45:03,,"88,00","778,800","8,8500","208,6300","3,7300","0,8200",1 levata sbagliata messo creora 78 H350 anziche H350A,24/81105-F2
,,+,71,1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)",264,20200,08/05/2024 12:46:03,28/05/2024 11:40:02,,"478,900","5387,6300","11,2500","117,2900","45,9400","10,1100",,23/31304-F1
,,+,71,1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)",264,20200,29/05/2024 15:55:03,08/06/2024 20:00:03,,"244,00","3037,800","12,4500","59,7600","50,8400","11,1800",,24/47904-F1
,,+,72,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",,11300,08/05/2024 15:32:03,10/05/2024 14:35:03,,"46,9800","394,6600","8,4006","175,8300","2,2500","0,4900",,24/77201-F3
,,+,72,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,11/05/2024 12:23:03,13/05/2024 11:30:03,,"47,0800","388,4400","8,2506","170,8700","2,2700","0,500",NO NODI SOST TUB ALLA ROTTURA,24/78202-F3
,,+,72,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,15/05/2024 15:22:02,17/05/2024 14:10:03,,"46,800","386,100","8,2500","169,8400","2,2700","0,500",NO NODI SOST TUB ALLA ROTTURA,24/77602-F3
,,+,72,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,18/05/2024 07:35:03,20/05/2024 06:45:03,,"47,1700","389,1300","8,2495","171,1700","2,2700","0,4900",NO NODI SOST TUB ALLA ROTTURA,24/78703-F3
,,+,72,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,21/05/2024 14:47:03,23/05/2024 13:40:03,,"46,8500","302,1800","6,4499","170,0200","1,7800","0,3900",NO NODI SOST TUB ALLA ROTTURA,
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",142,11300,24/05/2024 09:26:03,26/05/2024 08:55:03,,"47,4800","391,7400","8,2506","95,5800","4,100","0,900",FILO X TINTORIA,
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,27/05/2024 14:35:02,29/05/2024 13:55:03,,"47,3300","390,500","8,2506","171,7700","2,2700","0,500","FERMATA TASSATIVA
FILO X TINTORIA",24/73801-F2
,,+,72,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",256,11300,31/05/2024 14:24:03,02/06/2024 13:45:03,,"47,3500","390,6400","8,2501","171,8300","2,2800","0,500","FERMATA TASSATIVA
FILO X TINTORIA",24/73801-F2
,,+,73,S600A14DN,"Muriel 600/45f72 dc tpm 1300 st. 4,5",,12300,15/05/2024 10:00:00,17/05/2024 01:00:00,,,,,"0,4200",,,,
,,+,73,S600A14DN,"Muriel 600/45f72 dc tpm 1300 st. 4,5",,12300,15/05/2024 11:30:00,17/05/2024 02:30:00,,,,,"8,0400",,,,
,,+,73,S600A14DN,"Muriel 600/45f72 dc tpm 1300 st. 4,5",,12300,17/05/2024 10:00:00,19/05/2024 01:00:00,,,,,"0,6400",,,,
,,+,73,S600A14DN,"Muriel 600/45f72 dc tpm 1300 st. 4,5",,12300,17/05/2024 10:00:00,19/05/2024 01:00:00,,,,,"0,6400",,,,
,,+,73,S600A14DN,"Muriel 600/45f72 dc tpm 1300 st. 4,5",,12300,17/05/2024 11:45:00,19/05/2024 02:45:00,,,,,"11,8700",,,,
,,+,73,S600A14DN,"Muriel 600/45f72 dc tpm 1300 st. 4,5",,12300,19/05/2024 10:00:00,21/05/2024 01:00:00,,,,,"7,9300",,,,
,,+,73,S600A14DN,"Muriel 600/45f72 dc tpm 1300 st. 4,5",,12300,20/05/2024 09:15:00,22/05/2024 00:15:00,,,,,"4,6200",,,,
,,+,74,S18-160040DN,"Mu1600/62f18 solvron dc tpm 700 st. 3,6 (DG)",,8200,21/05/2024 10:00:00,21/05/2024 19:00:00,,,,,"12,5100",,,"
",
,,+,75,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)",,20600,03/05/2024 10:00:00,23/05/2024 06:00:00,,,,,"12,6100",,,LOTTO SPANDEX VECCHIO,
,,+,75,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)",24,20600,23/05/2024 16:00:00,12/06/2024 12:00:00,,,,,"9,8300",,,LOTTO SPANDEX VECCHIO va' 1 ciclo,
,-,Mese Inizio : 6,,,,,,,,,,,,,,,,
,,+,1,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",392,20218,15/06/2024 07:50:30,02/07/2024 13:49:57,,"413,9300","5357,4100","12,9428","114,5100","46,7800","10,2900",,24/81302-M8
,,+,2,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,21112,14/06/2024 08:33:27,29/06/2024 05:57:55,,"357,4200","5757,200","16,1077","149,3400","38,5500","8,4800",,24/75602-M4+6+F1
,,+,2,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,21109,29/06/2024 08:09:28,14/07/2024 08:17:56,,"360,0500","5825,4500","16,1796","150,4200","38,7200","8,5200",,23/56204-M4+6
,,+,3,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,21000,05/06/2024 14:24:16,20/06/2024 06:02:44,,"351,6200","5967,5700","16,9716","146,1400","40,8400","8,9800",,23/67306-M4
,,+,3,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,21018,20/06/2024 09:19:38,05/07/2024 13:49:36,,"364,4800","6102,7400","16,7437","151,6200","40,2500","8,8600",,24/90704-F1+M4+6
,,+,4,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,20975,11/06/2024 08:26:10,26/06/2024 08:00:39,,"359,5700","6500,9900","18,0799","149,2700","43,5500","9,5800",,24/98003-M4
,,+,4,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,20919,26/06/2024 10:33:58,11/07/2024 07:01:32,,"356,4700","6259,5500","17,5598","147,5900","42,4200","9,3300",,24/68001-M4
,,+,5,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,21099,17/06/2024 09:23:46,02/07/2024 10:27:06,,"360,9700","5546,4800","15,3655","150,7300","36,7900","8,0900","

",23/65204-F1+M4
,,+,6,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",256,20341,07/06/2024 15:32:51,25/06/2024 14:35:23,,"431,0300","3719,8200","8,6301","57,7300","64,4400","14,1800","spole rimangono grosse, fermare la mc il giorno indicato",24/95704-O7
,,+,6,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",256,20337,25/06/2024 16:18:00,12/07/2024 08:49:47,,"400,4700","3482,6100","8,6963","53,6200","64,9500","14,2900","spole rimangono grosse, fermare la mc il giorno indicato",24/68301-M6
,,+,7,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",448,20200,04/06/2024 10:56:59,21/06/2024 20:58:55,,"417,9500","6584,9100","15,7553","132,0200","49,8800","10,9700",CHIEDERE SE FARE LA 6° LEVATA PER FINIRE LYCRA 22,24/72601-M8
,,+,7,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",448,20191,28/06/2024 09:06:23,16/07/2024 07:03:14,,"429,7800","6797,9300","15,8172","135,700","50,100","11,0200",CHIEDERE SE FARE LA 6° LEVATA PER FINIRE LYCRA 22,24/72702-M8
,,+,8,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20645,01/06/2024 09:03:45,26/06/2024 21:07:45,,"612,00","9396,2600","15,3534","152,2100","61,7300","13,5800",,23/70405-M8
,,+,8,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20603,29/06/2024 06:09:34,25/07/2024 08:24:57,,"610,00","9296,600","15,2403","151,4100","61,400","13,5100",,24/87804-O7
,,+,9,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20672,10/06/2024 14:41:29,05/07/2024 09:31:42,,"594,6800","8262,7100","13,8944","148,100","55,7900","12,2700",,24/83103-M6+O7
,,+,10,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,20982,19/06/2024 09:38:04,14/07/2024 21:57:40,,"571,6300","9533,1100","16,6771","144,4900","65,9800","14,5100",,24/75302-M8
,,+,11,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,21028,22/06/2024 12:04:40,17/07/2024 13:56:24,,"601,700","9365,2100","15,5646","152,4300","61,4400","13,5200",,23/65807-M6+O7
,,+,12,2271DN 20000 mini,"K22/8f5 dc tpm 3000 st. 2,8 CI",448,20156,21/06/2024 15:45:13,16/07/2024 19:58:29,,"604,1500","9325,3700","15,4355","263,1800","35,4300","7,800",,24/87003-F3
,,+,14,4428ZN/F,"Cr44/44f13 Z tpm 1000 st. 3,6 (DG)",256,16722,27/06/2024 10:46:21,01/07/2024 08:25:52,,"93,5200","1109,4700","11,8635","139,3900","7,9600","1,7500","1°levata fermare la mc con circa 20/30 spole finite, 2°levata deve andare le ore alla precedente",23/51907-F2
,,+,15,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,,13/06/2024 09:10:23,13/06/2024 09:22:46,,"398,0200","0,1200","0,0003","128,5600","0,00","0,00",FERMATA A TEMPO 404H                              PARTIRE CON SPOLE FADIS3,
