Cliente,n. ordine cliente,n. ordine ns,data inserimento ordine,n. ordine interno,cod articolo,descrizione,quantità,data di consegna,nr. fusi,N° MC,n° levate,gg per produrre,data arrivo materia prima,Completamento ordine,prodotto kg,consegnato kg,giacenza prodotto finito,note,Evaso
CSP INTERNATIONAL,159945,19297,04/11/2024,,1724S+ZN,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)","150,0",02/12/2024,,,,,,,,,"0,0",,Falso
BBF GAMBETTI,52,18936,12/04/2024,,2011DN,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)","2.900,0",01/09/2024,,,,,,,,"2.438,0","3.000,0",,Falso
CALZIFICIO TREVER,2001170328,19037,29/05/2024,,13005ZF-14000,"Ly130/33f20 Z tpm 900 st. 4,2 (EC)","1.500,0",,,,,,,,,"517,0",,,Falso
SANYLEG,281,19183,05/09/2024,,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)","220,0",,,,,,,,,,"175,60",,Falso
BBF GAMBETTI,150,19300,04/11/2024,,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)","150,0",11/11/2024,,,,,,,,,,,Falso
BBF GAMBETTI,155,19301,04/11/2024,,2011DN,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)","800,0",02/12/2024,,,,,,,,,"400,0",,Falso
SANYLEG,295,19200,12/09/2024,,62002DN,"Cr620/78f24 dc tpm 800 st. 4,8","720,0",18/11/2024,,,,,,,,"608,0",,,Falso
BBF GAMBETTI,157,19302,04/11/2024,,2011DN,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)","3.200,0",04/03/2025,,,,,,,,,"0,0",,Falso
FISHER & PAYKEL,145792,19172,02/09/2024,253,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","190,0",15/10/2024,256,1,"0,88","1,47",,16/11/2024,"16,11",,"0,0",,Falso
FISHER & PAYKEL,145792,19172,02/09/2024,254,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","190,0",15/10/2024,256,1,"0,88","1,47",,16/11/2024,"16,11",,"0,0",,Falso
SCORTA,,,14/10/2024,296,4412ZN,"Ly 44/13f7 S+Z tpm 1700 st. 3,8 (DI)","38,0",,72,1,"0,92","11,73",,27/11/2024,"5,12",,,per pareggio torsioni in magazzino,Falso
RADICI,29547,19264,14/10/2024,300,2279ZN1 13200,Cr22/78f68 Z tpm 600 st- 3.2 (DC),"836,0",,256,1,"4,03","12,58",,28/11/2024,"8,31","378,0",,,Falso
GIZETA,1432,19303,04/11/2024,,7036ZN,"Ly78/44F34 Z tpm 900 st. 4,2 (EC)","150,0",14/11/2024,,,,,,,,,,,Falso
GIZETA,1432,19303,05/11/2024,,13007ZF1,"LY130/33f20 DC 900 tmp st. 4,2 (EC)","240,0",21/11/2024,,,,,,,,,,,Falso
CSP INTERNATIONAL,107219,19307,05/11/2024,,4466S+ZN,"Ly44/22f7 S+Z tpm 1900 stiro 3,6 (DG)","80,0",07/01/2025,,,,,,,,,"500,0",,Falso
FOCENZA FACTORY,,,,321,4424ZN,"Ly44/44f34 Z tpm 1000 st. 3,8 (DI)","160,0",15/12/2024,,,,,,,,,"0,0",ripristino vendita spareggiata a Sanyleg10/24,Falso
DUELEGS,,,11/11/2024,328,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7","2.500,0",,,,,,,,,,"650,0",,Falso
SCORTA,,,11/11/2024,327,,"Ly 44/22f20 S+Z tpm 1600 st. 3,7","126,0",,,1,,,,,,,,,Falso
